"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","KING.RE.20240416.FIL","KING.RE.20240416.FIL.220","D06","KING",2024-04-16 14:39:00,220,0.09323,1.504,6.19880319148936
"2","KING.RE.20240416.FIL","KING.RE.20240416.FIL.222","D06","KING",2024-04-16 14:39:00,222,0.0822,1.504,5.46542553191489
"3","KING.RE.20240416.FIL","KING.RE.20240416.FIL.224","D06","KING",2024-04-16 14:39:00,224,0.07274,1.504,4.83643617021277
"4","KING.RE.20240416.FIL","KING.RE.20240416.FIL.226","D06","KING",2024-04-16 14:39:00,226,0.06481,1.504,4.30917553191489
"5","KING.RE.20240416.FIL","KING.RE.20240416.FIL.228","D06","KING",2024-04-16 14:39:00,228,0.05807,1.504,3.86103723404255
"6","KING.RE.20240416.FIL","KING.RE.20240416.FIL.230","D06","KING",2024-04-16 14:39:00,230,0.05359,1.504,3.56316489361702
"7","KING.RE.20240416.FIL","KING.RE.20240416.FIL.232","D06","KING",2024-04-16 14:39:00,232,0.04912,1.504,3.26595744680851
"8","KING.RE.20240416.FIL","KING.RE.20240416.FIL.234","D06","KING",2024-04-16 14:39:00,234,0.04542,1.504,3.01994680851064
"9","KING.RE.20240416.FIL","KING.RE.20240416.FIL.236","D06","KING",2024-04-16 14:39:00,236,0.04258,1.504,2.8311170212766
"10","KING.RE.20240416.FIL","KING.RE.20240416.FIL.238","D06","KING",2024-04-16 14:39:00,238,0.04036,1.504,2.68351063829787
"11","KING.RE.20240416.FIL","KING.RE.20240416.FIL.240","D06","KING",2024-04-16 14:39:00,240,0.03845,1.504,2.55651595744681
"12","KING.RE.20240416.FIL","KING.RE.20240416.FIL.242","D06","KING",2024-04-16 14:39:00,242,0.03684,1.504,2.44946808510638
"13","KING.RE.20240416.FIL","KING.RE.20240416.FIL.244","D06","KING",2024-04-16 14:39:00,244,0.03568,1.504,2.37234042553191
"14","KING.RE.20240416.FIL","KING.RE.20240416.FIL.246","D06","KING",2024-04-16 14:39:00,246,0.03436,1.504,2.28457446808511
"15","KING.RE.20240416.FIL","KING.RE.20240416.FIL.248","D06","KING",2024-04-16 14:39:00,248,0.03349,1.504,2.22672872340426
"16","KING.RE.20240416.FIL","KING.RE.20240416.FIL.250","D06","KING",2024-04-16 14:39:00,250,0.03264,1.504,2.17021276595745
"17","KING.RE.20240416.FIL","KING.RE.20240416.FIL.252","D06","KING",2024-04-16 14:39:00,252,0.03179,1.504,2.11369680851064
"18","KING.RE.20240416.FIL","KING.RE.20240416.FIL.254","D06","KING",2024-04-16 14:39:00,254,0.03116,1.504,2.0718085106383
"19","KING.RE.20240416.FIL","KING.RE.20240416.FIL.256","D06","KING",2024-04-16 14:39:00,256,0.03044,1.504,2.02393617021277
"20","KING.RE.20240416.FIL","KING.RE.20240416.FIL.258","D06","KING",2024-04-16 14:39:00,258,0.02982,1.504,1.98271276595745
"21","KING.RE.20240416.FIL","KING.RE.20240416.FIL.260","D06","KING",2024-04-16 14:39:00,260,0.02931,1.504,1.94880319148936
"22","KING.RE.20240416.FIL","KING.RE.20240416.FIL.262","D06","KING",2024-04-16 14:39:00,262,0.02875,1.504,1.91156914893617
"23","KING.RE.20240416.FIL","KING.RE.20240416.FIL.264","D06","KING",2024-04-16 14:39:00,264,0.02824,1.504,1.87765957446809
"24","KING.RE.20240416.FIL","KING.RE.20240416.FIL.266","D06","KING",2024-04-16 14:39:00,266,0.02772,1.504,1.84308510638298
"25","KING.RE.20240416.FIL","KING.RE.20240416.FIL.268","D06","KING",2024-04-16 14:39:00,268,0.02725,1.504,1.81183510638298
"26","KING.RE.20240416.FIL","KING.RE.20240416.FIL.270","D06","KING",2024-04-16 14:39:00,270,0.02667,1.504,1.77327127659574
"27","KING.RE.20240416.FIL","KING.RE.20240416.FIL.272","D06","KING",2024-04-16 14:39:00,272,0.02623,1.504,1.74401595744681
"28","KING.RE.20240416.FIL","KING.RE.20240416.FIL.274","D06","KING",2024-04-16 14:39:00,274,0.02567,1.504,1.70678191489362
"29","KING.RE.20240416.FIL","KING.RE.20240416.FIL.276","D06","KING",2024-04-16 14:39:00,276,0.0251,1.504,1.6688829787234
"30","KING.RE.20240416.FIL","KING.RE.20240416.FIL.278","D06","KING",2024-04-16 14:39:00,278,0.02454,1.504,1.63164893617021
"31","KING.RE.20240416.FIL","KING.RE.20240416.FIL.280","D06","KING",2024-04-16 14:39:00,280,0.02393,1.504,1.59109042553191
"32","KING.RE.20240416.FIL","KING.RE.20240416.FIL.282","D06","KING",2024-04-16 14:39:00,282,0.02329,1.504,1.54853723404255
"33","KING.RE.20240416.FIL","KING.RE.20240416.FIL.284","D06","KING",2024-04-16 14:39:00,284,0.02263,1.504,1.50465425531915
"34","KING.RE.20240416.FIL","KING.RE.20240416.FIL.286","D06","KING",2024-04-16 14:39:00,286,0.02198,1.504,1.46143617021277
"35","KING.RE.20240416.FIL","KING.RE.20240416.FIL.288","D06","KING",2024-04-16 14:39:00,288,0.0213,1.504,1.41622340425532
"36","KING.RE.20240416.FIL","KING.RE.20240416.FIL.290","D06","KING",2024-04-16 14:39:00,290,0.0206,1.504,1.36968085106383
"37","KING.RE.20240416.FIL","KING.RE.20240416.FIL.292","D06","KING",2024-04-16 14:39:00,292,0.01994,1.504,1.32579787234043
"38","KING.RE.20240416.FIL","KING.RE.20240416.FIL.294","D06","KING",2024-04-16 14:39:00,294,0.01927,1.504,1.28125
"39","KING.RE.20240416.FIL","KING.RE.20240416.FIL.296","D06","KING",2024-04-16 14:39:00,296,0.01865,1.504,1.24002659574468
