"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","MART.SS.20231106.FIL","MART.SS.20231106.FIL.220","D16","MART",2023-11-06 18:20:00,220,0.14015,2.319,6.04355325571367
"2","MART.SS.20231106.FIL","MART.SS.20231106.FIL.222","D16","MART",2023-11-06 18:20:00,222,0.1343,2.319,5.79128934885727
"3","MART.SS.20231106.FIL","MART.SS.20231106.FIL.224","D16","MART",2023-11-06 18:20:00,224,0.12905,2.319,5.5648986632169
"4","MART.SS.20231106.FIL","MART.SS.20231106.FIL.226","D16","MART",2023-11-06 18:20:00,226,0.12405,2.319,5.34928848641656
"5","MART.SS.20231106.FIL","MART.SS.20231106.FIL.228","D16","MART",2023-11-06 18:20:00,228,0.1197,2.319,5.16170763260026
"6","MART.SS.20231106.FIL","MART.SS.20231106.FIL.230","D16","MART",2023-11-06 18:20:00,230,0.116,2.319,5.002156101768
"7","MART.SS.20231106.FIL","MART.SS.20231106.FIL.232","D16","MART",2023-11-06 18:20:00,232,0.11195,2.319,4.82751185855972
"8","MART.SS.20231106.FIL","MART.SS.20231106.FIL.234","D16","MART",2023-11-06 18:20:00,234,0.108,2.319,4.65717981888745
"9","MART.SS.20231106.FIL","MART.SS.20231106.FIL.236","D16","MART",2023-11-06 18:20:00,236,0.1043,2.319,4.4976282880552
"10","MART.SS.20231106.FIL","MART.SS.20231106.FIL.238","D16","MART",2023-11-06 18:20:00,238,0.10085,2.319,4.34885726606296
"11","MART.SS.20231106.FIL","MART.SS.20231106.FIL.240","D16","MART",2023-11-06 18:20:00,240,0.09755,2.319,4.20655454937473
"12","MART.SS.20231106.FIL","MART.SS.20231106.FIL.242","D16","MART",2023-11-06 18:20:00,242,0.09415,2.319,4.0599396291505
"13","MART.SS.20231106.FIL","MART.SS.20231106.FIL.244","D16","MART",2023-11-06 18:20:00,244,0.0917,2.319,3.95429064251833
"14","MART.SS.20231106.FIL","MART.SS.20231106.FIL.246","D16","MART",2023-11-06 18:20:00,246,0.08885,2.319,3.83139284174213
"15","MART.SS.20231106.FIL","MART.SS.20231106.FIL.248","D16","MART",2023-11-06 18:20:00,248,0.0867,2.319,3.73868046571798
"16","MART.SS.20231106.FIL","MART.SS.20231106.FIL.250","D16","MART",2023-11-06 18:20:00,250,0.08485,2.319,3.65890470030185
"17","MART.SS.20231106.FIL","MART.SS.20231106.FIL.252","D16","MART",2023-11-06 18:20:00,252,0.08295,2.319,3.57697283311772
"18","MART.SS.20231106.FIL","MART.SS.20231106.FIL.254","D16","MART",2023-11-06 18:20:00,254,0.08135,2.319,3.50797757654161
"19","MART.SS.20231106.FIL","MART.SS.20231106.FIL.256","D16","MART",2023-11-06 18:20:00,256,0.07975,2.319,3.4389823199655
"20","MART.SS.20231106.FIL","MART.SS.20231106.FIL.258","D16","MART",2023-11-06 18:20:00,258,0.0782,2.319,3.3721431651574
"21","MART.SS.20231106.FIL","MART.SS.20231106.FIL.260","D16","MART",2023-11-06 18:20:00,260,0.0766,2.319,3.30314790858129
"22","MART.SS.20231106.FIL","MART.SS.20231106.FIL.262","D16","MART",2023-11-06 18:20:00,262,0.07505,2.319,3.23630875377318
"23","MART.SS.20231106.FIL","MART.SS.20231106.FIL.264","D16","MART",2023-11-06 18:20:00,264,0.07355,2.319,3.17162570073308
"24","MART.SS.20231106.FIL","MART.SS.20231106.FIL.266","D16","MART",2023-11-06 18:20:00,266,0.07195,2.319,3.10263044415696
"25","MART.SS.20231106.FIL","MART.SS.20231106.FIL.268","D16","MART",2023-11-06 18:20:00,268,0.07055,2.319,3.04225959465287
"26","MART.SS.20231106.FIL","MART.SS.20231106.FIL.270","D16","MART",2023-11-06 18:20:00,270,0.069,2.319,2.97542043984476
"27","MART.SS.20231106.FIL","MART.SS.20231106.FIL.272","D16","MART",2023-11-06 18:20:00,272,0.06765,2.319,2.91720569210867
"28","MART.SS.20231106.FIL","MART.SS.20231106.FIL.274","D16","MART",2023-11-06 18:20:00,274,0.06635,2.319,2.86114704614058
"29","MART.SS.20231106.FIL","MART.SS.20231106.FIL.276","D16","MART",2023-11-06 18:20:00,276,0.06495,2.319,2.80077619663648
"30","MART.SS.20231106.FIL","MART.SS.20231106.FIL.278","D16","MART",2023-11-06 18:20:00,278,0.06355,2.319,2.74040534713238
"31","MART.SS.20231106.FIL","MART.SS.20231106.FIL.280","D16","MART",2023-11-06 18:20:00,280,0.06195,2.319,2.67141009055627
"32","MART.SS.20231106.FIL","MART.SS.20231106.FIL.282","D16","MART",2023-11-06 18:20:00,282,0.0606,2.319,2.61319534282018
"33","MART.SS.20231106.FIL","MART.SS.20231106.FIL.284","D16","MART",2023-11-06 18:20:00,284,0.05905,2.319,2.54635618801207
"34","MART.SS.20231106.FIL","MART.SS.20231106.FIL.286","D16","MART",2023-11-06 18:20:00,286,0.0574,2.319,2.47520482966796
"35","MART.SS.20231106.FIL","MART.SS.20231106.FIL.288","D16","MART",2023-11-06 18:20:00,288,0.0559,2.319,2.41052177662786
"36","MART.SS.20231106.FIL","MART.SS.20231106.FIL.290","D16","MART",2023-11-06 18:20:00,290,0.0541,2.319,2.33290211297973
"37","MART.SS.20231106.FIL","MART.SS.20231106.FIL.292","D16","MART",2023-11-06 18:20:00,292,0.0525,2.319,2.26390685640362
"38","MART.SS.20231106.FIL","MART.SS.20231106.FIL.294","D16","MART",2023-11-06 18:20:00,294,0.0508,2.319,2.1905993962915
"39","MART.SS.20231106.FIL","MART.SS.20231106.FIL.296","D16","MART",2023-11-06 18:20:00,296,0.0493,2.319,2.1259163432514
