"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.220","D16","MCRA",2024-01-04 16:47:00,220,0.0284,0.6595,4.3062926459439
"2","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.222","D16","MCRA",2024-01-04 16:47:00,222,0.02745,0.6595,4.16224412433662
"3","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.224","D16","MCRA",2024-01-04 16:47:00,224,0.02675,0.6595,4.05610310841547
"4","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.226","D16","MCRA",2024-01-04 16:47:00,226,0.02605,0.6595,3.94996209249431
"5","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.228","D16","MCRA",2024-01-04 16:47:00,228,0.0254,0.6595,3.85140257771039
"6","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.230","D16","MCRA",2024-01-04 16:47:00,230,0.0249,0.6595,3.77558756633814
"7","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.232","D16","MCRA",2024-01-04 16:47:00,232,0.02415,0.6595,3.66186504927976
"8","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.234","D16","MCRA",2024-01-04 16:47:00,234,0.0233,0.6595,3.53297952994693
"9","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.236","D16","MCRA",2024-01-04 16:47:00,236,0.0225,0.6595,3.41167551175133
"10","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.238","D16","MCRA",2024-01-04 16:47:00,238,0.0218,0.6595,3.30553449583017
"11","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.240","D16","MCRA",2024-01-04 16:47:00,240,0.02105,0.6595,3.1918119787718
"12","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.242","D16","MCRA",2024-01-04 16:47:00,242,0.02025,0.6595,3.07050796057619
"13","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.244","D16","MCRA",2024-01-04 16:47:00,244,0.0198,0.6595,3.00227445034117
"14","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.246","D16","MCRA",2024-01-04 16:47:00,246,0.0191,0.6595,2.89613343442002
"15","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.248","D16","MCRA",2024-01-04 16:47:00,248,0.01875,0.6595,2.84306292645944
"16","MCRA.SS.20240104.FIL","MCRA.SS.20240104.FIL.250","D16","MCRA",2024-01-04 16:47:00,250,0.01835,0.6595,2.78241091736164
