"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.220","D09","PRPO",2023-11-14 15:24:00,220,0.80735,33.67,2.3978318978319
"2","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.222","D09","PRPO",2023-11-14 15:24:00,222,0.76395,33.67,2.26893376893377
"3","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.224","D09","PRPO",2023-11-14 15:24:00,224,0.72355,33.67,2.14894564894565
"4","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.226","D09","PRPO",2023-11-14 15:24:00,226,0.6872,33.67,2.04098604098604
"5","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.228","D09","PRPO",2023-11-14 15:24:00,228,0.6527,33.67,1.93852093852094
"6","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.230","D09","PRPO",2023-11-14 15:24:00,230,0.62585,33.67,1.85877635877636
"7","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.232","D09","PRPO",2023-11-14 15:24:00,232,0.59445,33.67,1.76551826551827
"8","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.234","D09","PRPO",2023-11-14 15:24:00,234,0.5645,33.67,1.67656667656668
"9","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.236","D09","PRPO",2023-11-14 15:24:00,236,0.53765,33.67,1.5968220968221
"10","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.238","D09","PRPO",2023-11-14 15:24:00,238,0.5142,33.67,1.52717552717553
"11","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.240","D09","PRPO",2023-11-14 15:24:00,240,0.4928,33.67,1.46361746361746
"12","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.242","D09","PRPO",2023-11-14 15:24:00,242,0.4742,33.67,1.40837540837541
"13","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.244","D09","PRPO",2023-11-14 15:24:00,244,0.4605,33.67,1.36768636768637
"14","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.246","D09","PRPO",2023-11-14 15:24:00,246,0.44555,33.67,1.32328482328482
"15","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.248","D09","PRPO",2023-11-14 15:24:00,248,0.4353,33.67,1.29284229284229
"16","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.250","D09","PRPO",2023-11-14 15:24:00,250,0.4251,33.67,1.26254826254826
"17","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.252","D09","PRPO",2023-11-14 15:24:00,252,0.41435,33.67,1.23062073062073
"18","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.254","D09","PRPO",2023-11-14 15:24:00,254,0.40505,33.67,1.2029997029997
"19","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.256","D09","PRPO",2023-11-14 15:24:00,256,0.39345,33.67,1.16854766854767
"20","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.258","D09","PRPO",2023-11-14 15:24:00,258,0.3809,33.67,1.13127413127413
"21","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.260","D09","PRPO",2023-11-14 15:24:00,260,0.36805,33.67,1.09310959310959
"22","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.262","D09","PRPO",2023-11-14 15:24:00,262,0.35355,33.67,1.05004455004455
"23","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.264","D09","PRPO",2023-11-14 15:24:00,264,0.3392,33.67,1.00742500742501
"24","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.266","D09","PRPO",2023-11-14 15:24:00,266,0.32375,33.67,0.961538461538461
"25","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.268","D09","PRPO",2023-11-14 15:24:00,268,0.30915,33.67,0.918176418176418
"26","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.270","D09","PRPO",2023-11-14 15:24:00,270,0.29245,33.67,0.868577368577369
"27","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.272","D09","PRPO",2023-11-14 15:24:00,272,0.2792,33.67,0.829224829224829
"28","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.274","D09","PRPO",2023-11-14 15:24:00,274,0.2643,33.67,0.784971784971785
"29","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.276","D09","PRPO",2023-11-14 15:24:00,276,0.2501,33.67,0.742797742797743
"30","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.278","D09","PRPO",2023-11-14 15:24:00,278,0.237,33.67,0.703890703890704
"31","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.280","D09","PRPO",2023-11-14 15:24:00,280,0.2236,33.67,0.664092664092664
"32","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.282","D09","PRPO",2023-11-14 15:24:00,282,0.21095,33.67,0.626522126522126
"33","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.284","D09","PRPO",2023-11-14 15:24:00,284,0.199,33.67,0.591030591030591
"34","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.286","D09","PRPO",2023-11-14 15:24:00,286,0.1874,33.67,0.556578556578557
"35","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.288","D09","PRPO",2023-11-14 15:24:00,288,0.17655,33.67,0.524354024354024
"36","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.290","D09","PRPO",2023-11-14 15:24:00,290,0.1655,33.67,0.491535491535492
"37","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.292","D09","PRPO",2023-11-14 15:24:00,292,0.1556,33.67,0.462132462132462
"38","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.294","D09","PRPO",2023-11-14 15:24:00,294,0.1457,33.67,0.432729432729433
"39","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.296","D09","PRPO",2023-11-14 15:24:00,296,0.1372,33.67,0.407484407484407
"40","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.298","D09","PRPO",2023-11-14 15:24:00,298,0.1297,33.67,0.385209385209385
"41","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.300","D09","PRPO",2023-11-14 15:24:00,300,0.12235,33.67,0.363379863379863
"42","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.302","D09","PRPO",2023-11-14 15:24:00,302,0.11555,33.67,0.343183843183843
"43","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.304","D09","PRPO",2023-11-14 15:24:00,304,0.1093,33.67,0.324621324621325
"44","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.306","D09","PRPO",2023-11-14 15:24:00,306,0.10325,33.67,0.306652806652807
"45","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.308","D09","PRPO",2023-11-14 15:24:00,308,0.09785,33.67,0.290614790614791
"46","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.310","D09","PRPO",2023-11-14 15:24:00,310,0.09315,33.67,0.276655776655777
"47","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.312","D09","PRPO",2023-11-14 15:24:00,312,0.08875,33.67,0.263587763587764
"48","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.314","D09","PRPO",2023-11-14 15:24:00,314,0.08415,33.67,0.24992574992575
"49","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.316","D09","PRPO",2023-11-14 15:24:00,316,0.0808,33.67,0.23997623997624
"50","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.318","D09","PRPO",2023-11-14 15:24:00,318,0.077,33.67,0.228690228690229
"51","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.320","D09","PRPO",2023-11-14 15:24:00,320,0.07345,33.67,0.218146718146718
"52","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.322","D09","PRPO",2023-11-14 15:24:00,322,0.07025,33.67,0.208642708642709
"53","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.324","D09","PRPO",2023-11-14 15:24:00,324,0.067,33.67,0.198990198990199
"54","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.326","D09","PRPO",2023-11-14 15:24:00,326,0.0636,33.67,0.188892188892189
"55","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.328","D09","PRPO",2023-11-14 15:24:00,328,0.0609,33.67,0.180873180873181
"56","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.330","D09","PRPO",2023-11-14 15:24:00,330,0.05805,33.67,0.172408672408672
"57","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.332","D09","PRPO",2023-11-14 15:24:00,332,0.0555,33.67,0.164835164835165
"58","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.334","D09","PRPO",2023-11-14 15:24:00,334,0.0534,33.67,0.158598158598159
"59","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.336","D09","PRPO",2023-11-14 15:24:00,336,0.05105,33.67,0.151618651618652
"60","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.338","D09","PRPO",2023-11-14 15:24:00,338,0.0489,33.67,0.145233145233145
"61","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.340","D09","PRPO",2023-11-14 15:24:00,340,0.047,33.67,0.13959013959014
"62","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.342","D09","PRPO",2023-11-14 15:24:00,342,0.04495,33.67,0.133501633501633
"63","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.344","D09","PRPO",2023-11-14 15:24:00,344,0.04325,33.67,0.128452628452628
"64","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.346","D09","PRPO",2023-11-14 15:24:00,346,0.0418,33.67,0.124146124146124
"65","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.348","D09","PRPO",2023-11-14 15:24:00,348,0.03995,33.67,0.118651618651619
"66","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.350","D09","PRPO",2023-11-14 15:24:00,350,0.03835,33.67,0.113899613899614
"67","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.352","D09","PRPO",2023-11-14 15:24:00,352,0.037,33.67,0.10989010989011
"68","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.354","D09","PRPO",2023-11-14 15:24:00,354,0.03575,33.67,0.106177606177606
"69","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.356","D09","PRPO",2023-11-14 15:24:00,356,0.03455,33.67,0.102613602613603
"70","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.358","D09","PRPO",2023-11-14 15:24:00,358,0.0332,33.67,0.0986040986040986
"71","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.360","D09","PRPO",2023-11-14 15:24:00,360,0.03215,33.67,0.0954855954855955
"72","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.362","D09","PRPO",2023-11-14 15:24:00,362,0.03085,33.67,0.0916245916245916
"73","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.364","D09","PRPO",2023-11-14 15:24:00,364,0.02985,33.67,0.0886545886545887
"74","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.366","D09","PRPO",2023-11-14 15:24:00,366,0.02875,33.67,0.0853875853875854
"75","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.368","D09","PRPO",2023-11-14 15:24:00,368,0.02785,33.67,0.0827145827145827
"76","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.370","D09","PRPO",2023-11-14 15:24:00,370,0.0267,33.67,0.0792990792990793
"77","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.372","D09","PRPO",2023-11-14 15:24:00,372,0.0258,33.67,0.0766260766260766
"78","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.374","D09","PRPO",2023-11-14 15:24:00,374,0.0247,33.67,0.0733590733590734
"79","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.376","D09","PRPO",2023-11-14 15:24:00,376,0.0241,33.67,0.0715770715770716
"80","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.378","D09","PRPO",2023-11-14 15:24:00,378,0.02325,33.67,0.069052569052569
"81","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.380","D09","PRPO",2023-11-14 15:24:00,380,0.02255,33.67,0.066973566973567
"82","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.382","D09","PRPO",2023-11-14 15:24:00,382,0.0218,33.67,0.0647460647460647
"83","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.384","D09","PRPO",2023-11-14 15:24:00,384,0.021,33.67,0.0623700623700624
"84","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.386","D09","PRPO",2023-11-14 15:24:00,386,0.02015,33.67,0.0598455598455598
"85","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.388","D09","PRPO",2023-11-14 15:24:00,388,0.0197,33.67,0.0585090585090585
"86","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.390","D09","PRPO",2023-11-14 15:24:00,390,0.01905,33.67,0.0565785565785566
"87","PRPO.C0.20231114.FIL","PRPO.C0.20231114.FIL.392","D09","PRPO",2023-11-14 15:24:00,392,0.01875,33.67,0.0556875556875557
