"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.220","D03","SUGG",2023-11-14 15:17:00,220,1.52465,21.79,6.99701698026618
"2","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.222","D03","SUGG",2023-11-14 15:17:00,222,1.48995,21.79,6.83776961909133
"3","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.224","D03","SUGG",2023-11-14 15:17:00,224,1.4548,21.79,6.67645709040845
"4","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.226","D03","SUGG",2023-11-14 15:17:00,226,1.421,21.79,6.52134006424966
"5","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.228","D03","SUGG",2023-11-14 15:17:00,228,1.38635,21.79,6.36232216613125
"6","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.230","D03","SUGG",2023-11-14 15:17:00,230,1.35715,21.79,6.22831574116567
"7","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.232","D03","SUGG",2023-11-14 15:17:00,232,1.32045,21.79,6.05988985773291
"8","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.234","D03","SUGG",2023-11-14 15:17:00,234,1.2834,21.79,5.889857732905
"9","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.236","D03","SUGG",2023-11-14 15:17:00,236,1.2488,21.79,5.73106929784305
"10","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.238","D03","SUGG",2023-11-14 15:17:00,238,1.21695,21.79,5.58490133088573
"11","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.240","D03","SUGG",2023-11-14 15:17:00,240,1.18595,21.79,5.44263423588802
"12","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.242","D03","SUGG",2023-11-14 15:17:00,242,1.15705,21.79,5.31000458926113
"13","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.244","D03","SUGG",2023-11-14 15:17:00,244,1.1335,21.79,5.20192748967416
"14","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.246","D03","SUGG",2023-11-14 15:17:00,246,1.10575,21.79,5.07457549334557
"15","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.248","D03","SUGG",2023-11-14 15:17:00,248,1.0857,21.79,4.98256080770996
"16","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.250","D03","SUGG",2023-11-14 15:17:00,250,1.0652,21.79,4.88848095456631
"17","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.252","D03","SUGG",2023-11-14 15:17:00,252,1.04455,21.79,4.79371271225333
"18","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.254","D03","SUGG",2023-11-14 15:17:00,254,1.02675,21.79,4.71202386415787
"19","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.256","D03","SUGG",2023-11-14 15:17:00,256,1.00705,21.79,4.62161541991739
"20","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.258","D03","SUGG",2023-11-14 15:17:00,258,0.98805,21.79,4.53441945846719
"21","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.260","D03","SUGG",2023-11-14 15:17:00,260,0.96945,21.79,4.44905920146856
"22","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.262","D03","SUGG",2023-11-14 15:17:00,262,0.9491,21.79,4.35566773749426
"23","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.264","D03","SUGG",2023-11-14 15:17:00,264,0.9288,21.79,4.26250573657641
"24","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.266","D03","SUGG",2023-11-14 15:17:00,266,0.90705,21.79,4.16268930702157
"25","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.268","D03","SUGG",2023-11-14 15:17:00,268,0.88605,21.79,4.06631482331345
"26","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.270","D03","SUGG",2023-11-14 15:17:00,270,0.8611,21.79,3.95181275814594
"27","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.272","D03","SUGG",2023-11-14 15:17:00,272,0.8411,21.79,3.86002753556677
"28","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.274","D03","SUGG",2023-11-14 15:17:00,274,0.81715,21.79,3.75011473152822
"29","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.276","D03","SUGG",2023-11-14 15:17:00,276,0.79425,21.79,3.64502065167508
"30","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.278","D03","SUGG",2023-11-14 15:17:00,278,0.77215,21.79,3.5435979807251
"31","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.280","D03","SUGG",2023-11-14 15:17:00,280,0.7495,21.79,3.4396512161542
"32","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.282","D03","SUGG",2023-11-14 15:17:00,282,0.7283,21.79,3.34235888022028
"33","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.284","D03","SUGG",2023-11-14 15:17:00,284,0.7076,21.79,3.24736117485085
"34","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.286","D03","SUGG",2023-11-14 15:17:00,286,0.688,21.79,3.15741165672327
"35","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.288","D03","SUGG",2023-11-14 15:17:00,288,0.66955,21.79,3.07273978889399
"36","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.290","D03","SUGG",2023-11-14 15:17:00,290,0.65025,21.79,2.98416704910509
"37","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.292","D03","SUGG",2023-11-14 15:17:00,292,0.63295,21.79,2.90477283157412
"38","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.294","D03","SUGG",2023-11-14 15:17:00,294,0.61485,21.79,2.82170720513997
"39","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.296","D03","SUGG",2023-11-14 15:17:00,296,0.5987,21.79,2.7475906379073
"40","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.298","D03","SUGG",2023-11-14 15:17:00,298,0.5838,21.79,2.67921064708582
"41","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.300","D03","SUGG",2023-11-14 15:17:00,300,0.56815,21.79,2.60738871041762
"42","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.302","D03","SUGG",2023-11-14 15:17:00,302,0.5532,21.79,2.5387792565397
"43","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.304","D03","SUGG",2023-11-14 15:17:00,304,0.53835,21.79,2.47062872877467
"44","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.306","D03","SUGG",2023-11-14 15:17:00,306,0.52375,21.79,2.40362551629188
"45","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.308","D03","SUGG",2023-11-14 15:17:00,308,0.50965,21.79,2.33891693437357
"46","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.310","D03","SUGG",2023-11-14 15:17:00,310,0.4966,21.79,2.27902707664066
"47","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.312","D03","SUGG",2023-11-14 15:17:00,312,0.4838,21.79,2.22028453419
"48","SUGG.C0.20231114.FIL","SUGG.C0.20231114.FIL.314","D03","SUGG",2023-11-14 15:17:00,314,0.4702,21.79,2.15787058283616
