"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.220","D08","TOMB",2023-11-02 16:10:00,220,0.35785,5.172,6.91898685228152
"2","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.222","D08","TOMB",2023-11-02 16:10:00,222,0.32835,5.172,6.34860788863109
"3","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.224","D08","TOMB",2023-11-02 16:10:00,224,0.3022,5.172,5.84300077339521
"4","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.226","D08","TOMB",2023-11-02 16:10:00,226,0.2804,5.172,5.4215003866976
"5","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.228","D08","TOMB",2023-11-02 16:10:00,228,0.2611,5.172,5.04833720030936
"6","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.230","D08","TOMB",2023-11-02 16:10:00,230,0.24705,5.172,4.77668213457077
"7","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.232","D08","TOMB",2023-11-02 16:10:00,232,0.2333,5.172,4.5108275328693
"8","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.234","D08","TOMB",2023-11-02 16:10:00,234,0.2211,5.172,4.27494199535963
"9","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.236","D08","TOMB",2023-11-02 16:10:00,236,0.2109,5.172,4.07772621809745
"10","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.238","D08","TOMB",2023-11-02 16:10:00,238,0.2022,5.172,3.90951276102088
"11","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.240","D08","TOMB",2023-11-02 16:10:00,240,0.1942,5.172,3.75483372003094
"12","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.242","D08","TOMB",2023-11-02 16:10:00,242,0.1868,5.172,3.61175560711524
"13","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.244","D08","TOMB",2023-11-02 16:10:00,244,0.18135,5.172,3.50638051044084
"14","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.246","D08","TOMB",2023-11-02 16:10:00,246,0.17525,5.172,3.388437741686
"15","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.248","D08","TOMB",2023-11-02 16:10:00,248,0.17075,5.172,3.30143078112916
"16","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.250","D08","TOMB",2023-11-02 16:10:00,250,0.16685,5.172,3.22602474864656
"17","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.252","D08","TOMB",2023-11-02 16:10:00,252,0.1627,5.172,3.14578499613302
"18","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.254","D08","TOMB",2023-11-02 16:10:00,254,0.16,5.172,3.09358081979892
"19","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.256","D08","TOMB",2023-11-02 16:10:00,256,0.15675,5.172,3.03074245939675
"20","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.258","D08","TOMB",2023-11-02 16:10:00,258,0.15375,5.172,2.97273781902552
"21","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.260","D08","TOMB",2023-11-02 16:10:00,260,0.15085,5.172,2.91666666666667
"22","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.262","D08","TOMB",2023-11-02 16:10:00,262,0.14805,5.172,2.86252900232019
"23","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.264","D08","TOMB",2023-11-02 16:10:00,264,0.14545,5.172,2.81225831399845
"24","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.266","D08","TOMB",2023-11-02 16:10:00,266,0.1422,5.172,2.74941995359629
"25","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.268","D08","TOMB",2023-11-02 16:10:00,268,0.13925,5.172,2.69238205723125
"26","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.270","D08","TOMB",2023-11-02 16:10:00,270,0.1359,5.172,2.62761020881671
"27","TOMB.C0.20231102.FIL","TOMB.C0.20231102.FIL.272","D08","TOMB",2023-11-02 16:10:00,272,0.13285,5.172,2.56863882443929
