"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.220","D18","TOOK",2024-01-09 20:29:00,220,0.2373,5.077,4.67402009060469
"2","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.222","D18","TOOK",2024-01-09 20:29:00,222,0.22835,5.077,4.49773488280481
"3","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.224","D18","TOOK",2024-01-09 20:29:00,224,0.21965,5.077,4.32637384282056
"4","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.226","D18","TOOK",2024-01-09 20:29:00,226,0.2118,5.077,4.17175497340949
"5","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.228","D18","TOOK",2024-01-09 20:29:00,228,0.20455,5.077,4.02895410675596
"6","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.230","D18","TOOK",2024-01-09 20:29:00,230,0.19885,5.077,3.91668308055939
"7","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.232","D18","TOOK",2024-01-09 20:29:00,232,0.1924,5.077,3.7896395509159
"8","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.234","D18","TOOK",2024-01-09 20:29:00,234,0.18615,5.077,3.66653535552492
"9","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.236","D18","TOOK",2024-01-09 20:29:00,236,0.1807,5.077,3.55918849714398
"10","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.238","D18","TOOK",2024-01-09 20:29:00,238,0.17575,5.077,3.46168997439433
"11","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.240","D18","TOOK",2024-01-09 20:29:00,240,0.17105,5.077,3.36911561946031
"12","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.242","D18","TOOK",2024-01-09 20:29:00,242,0.16665,5.077,3.28245026590506
"13","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.244","D18","TOOK",2024-01-09 20:29:00,244,0.1634,5.077,3.21843608430175
"14","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.246","D18","TOOK",2024-01-09 20:29:00,246,0.15955,5.077,3.14260389994091
"15","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.248","D18","TOOK",2024-01-09 20:29:00,248,0.15685,5.077,3.08942288753201
"16","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.250","D18","TOOK",2024-01-09 20:29:00,250,0.15445,5.077,3.04215087650187
"17","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.252","D18","TOOK",2024-01-09 20:29:00,252,0.15125,5.077,2.97912152846169
"18","TOOK.C0.20240109.FIL","TOOK.C0.20240109.FIL.254","D18","TOOK",2024-01-09 20:29:00,254,0.14915,5.077,2.93775851881032
